deviationid	username	random	uploaded_date	filename	Red_Mean	Blue_Mean	Green_Mean	Hue_Mean	Hue_Std	Sat_Mean	Sat_Median	Sat_Std	Contrast_8	Correlation_8	Energy_8	Edge_Amount_Sobel	Entropy	Brightness_Mean	Brightness_Median	Brightness_Std
119523600	Kattvinge	0.002843705	38458	Fractal Art/000000/April_Abstract_14_2009_by_Kattvinge.jpg	52.213939	64.650223	59.136074	0.410192	0.279538	0.552209	0.55	0.282176	0.504477	0.840605	0.174772	0.014826	6.869021	57.704937	51	42.255266
171787264	Kattvinge	0.003020547	38915	Fractal Art/000001/JulySplits_2_by_Kattvinge.jpg	75.636781	33.31338	60.28145	0.1075	0.052586	0.562034	0.525	0.185745	0.721463	0.621122	0.145548	0.035949	6.942595	61.799875	56	33.528211
136315330	Artico621	0.003069225	38602	Fractal Art/000000/Flat_Outright_by_Artico621.jpg	115.662689	37.255299	88.824389	0.219432	0.272253	0.788976	0.801205	0.189451	1.871414	0.543337	0.087334	0.044231	7.375519	90.977423	89	53.778592
98130753	n8iveattitude1	0.003185563	38245	Fractal Art/000000/The_Light_Behind_by_n8iveattitude1.jpg	41.896472	43.961886	55.112916	0.403799	0.247264	0.321981	0.340909	0.185073	0.676516	0.747806	0.176201	0.031652	6.640996	49.886115	41	41.229077
149262706	Fiery-Fire	0.003313548	38721	Fractal Art/000000/Because_I_can_by_Fiery_Fire.jpg	114.451112	65.521891	56.883497	0.760643	0.381718	0.523891	0.483333	0.276084	2.443232	0.381949	0.060518	0.046901	7.486496	75.082236	65	49.559319
105169361	n8iveattitude1	0.003321983	38322	Fractal Art/000000/Clementine_Tree_by_n8iveattitude1.jpg	57.296309	7.249636	26.369407	0.115218	0.220227	0.606979	0.811881	0.415969	0.609726	0.74858	0.217382	0.04141	5.730626	33.432035	19	39.016333
83660081	Xantipa2	0.003333147	38099	Mixed Media/Abstract/000000/Road_to_Future___3_by_Xantipa2.jpg	51.312546	25.06593	34.878604	0.096374	0.150681	0.381227	0.304348	0.336098	1.228126	0.465682	0.137533	0.050134	6.068735	38.67527	31	37.729278
72791106	n8iveattitude1	0.003521502	37977	Fractal Art/000000/tangled_heart_by_n8iveattitude1.jpg	56.022546	56.040505	47.37586	0.697225	0.299247	0.426346	0.445946	0.209272	1.501892	0.517068	0.144701	0.046265	6.529662	50.935016	43	43.633609
112506674	n8iveattitude1	0.003565338	38393	Fractal Art/000000/Parts_by_n8iveattitude1.jpg	67.274476	32.61791	43.429878	0.086906	0.104622	0.551224	0.693252	0.313552	1.542586	0.598469	0.124921	0.045442	7.039079	49.340383	34	48.505146
24892240	swinck	0.00405202	37200	Fractal Art/000000/nonsense_alien_by_swinck.jpg	48.048507	67.085524	47.490056	0.380129	0.309751	0.569214	0.639175	0.407477	0.791853	0.873998	0.277135	0.028752	5.830977	49.894552	12	61.995316
20463201	swinck	0.004276759	37083	Fractal Art/000000/magic_flow_by_swinck.jpg	52.011831	45.390738	55.043475	0.40356	0.277368	0.567665	0.605042	0.275731	0.983042	0.779814	0.127246	0.044158	6.864293	53.034137	34	51.920176
90432338	Artico621	0.004384296	38169	Fractal Art/000000/Center_Mass_by_Artico621.jpg	95.434883	66.908748	89.395039	0.281157	0.229437	0.621786	0.63253	0.25682	4.58115	0.228316	0.02911	0.038633	7.746042	88.637756	80	60.940466
69621761	Xantipa2	0.004658059	37936	Fractal Art/000000/Beautiful_Symmetry___2_by_Xantipa2.jpg	46.266287	104.720466	84.751058	0.510173	0.155917	0.636227	0.647619	0.198515	1.028448	0.525741	0.146742	0.041	6.860045	75.502627	65	35.383141
59474800	Kattvinge	0.004662795	37811	Fractal Art/000000/Julian_Magic_by_Kattvinge.jpg	28.832484	60.935603	78.70715	0.443211	0.056432	0.676756	0.679612	0.143762	1.194827	0.683965	0.172048	0.053389	7.100885	61.76143	43	50.209799
58970433	Xantipa2	0.004693973	37804	Fractal Art/000000/Playing_II_by_Xantipa2.jpg	50.898371	15.006985	40.022426	0.105735	0.123525	0.612847	0.72619	0.37296	1.126376	0.695085	0.192913	0.036964	6.165331	40.436048	25	48.100218
145072722	Fiery-Fire	0.005002628	38684	Fractal Art/000000/Paint_me_reflections_by_Fiery_Fire.jpg	94.939539	89.872401	76.890221	0.712625	0.271848	0.314291	0.188482	0.274505	3.440724	0.411267	0.041694	0.049613	7.700526	83.769557	75	60.605935
61562082	Xantipa2	0.005071362	37838	Fractal Art/000000/Time_for_You_by_Xantipa2.jpg	70.761902	17.317279	46.77459	0.085929	0.092211	0.646321	0.764045	0.321577	0.813933	0.709021	0.15602	0.028451	6.47693	50.591692	44	42.27476
22076705	swinck	0.0052825	37125	Fractal Art/000000/angelical_by_swinck.jpg	98.75841	33.432078	70.615989	0.37501	0.341485	0.566312	0.716981	0.289986	1.026538	0.769105	0.21312	0.016275	6.519057	74.810512	58	57.580452
106027745	VirusNO1	0.005527859	38331	Fractal Art/000000/5cf35a1ed7fb7fb511dfd7641d4fa4e9.jpg	16.300782	32.462187	10.258115	0.268277	0.340848	0.324179	0	0.413914	0.365306	0.734321	0.592014	0.015575	3.45521	14.611402	1	29.45933
129724672	WS-Clave	0.006110851	38548	Vector/Vehicles/000000/Unit__JG2_Luftwaffe_1_by_WS_Clave.jpg	218.060611	202.273965	213.066435	0.175963	0.148819	0.085058	0.058824	0.133275	1.523071	0.453135	0.393604	0.030032	3.3304	213.217406	235	46.162312
118854706	Jellaboom	0.006129882	38452	Fractal Art/000000/One_for_Francescoarecuri_by_Jellaboom.jpg	27.643743	12.646419	26.743648	0.092478	0.175446	0.264951	0	0.377018	0.657798	0.784519	0.464186	0.04031	3.481138	25.403867	0	44.364071
169281600	VirusNO1	0.006133434	38895	Fractal Art/000001/2010_6_28_3_by_VirusNO1.jpg	63.182677	21.323206	32.928619	0.292339	0.356555	0.77254	0.775	0.168072	0.631715	0.507997	0.201139	0.040572	6.463828	40.653517	38	26.696892
88769552	n8iveattitude1	0.00614753	38153	Fractal Art/000000/Reflecting_Perception_by_n8iveattitude1.jpg	70.207004	60.649168	64.247171	0.29092	0.336478	0.259445	0.25	0.203897	0.664479	0.511765	0.226203	0.038705	6.513437	43.260536	36	27.914603
182605200	Fiery-Fire	0.006254473	39003	Fractal Art/Raw Fractals/000000/vella_by_fiery_fire-d30pv2o.jpg	96.197512	83.409332	86.278701	0.470269	0.308996	0.33254	0.301435	0.181287	0.542127	0.90471	0.144485	0.025134	7.491605	88.915568	66	61.658067
162815696	n8iveattitude1	0.006340668	38839	Fractal Art/000001/Reflecting_Perception_by_n8iveattitude1.jpg	40.058798	54.486047	42.831689	0.573954	0.206317	0.204929	0.125	0.196445	0.664479	0.511765	0.226203	0.038705	6.513437	43.260536	36	27.914603
90405313	Jellaboom	0.006447371	38169	3-Dimensional Art/Scenes/Fantasy/000000/Unfriendly_by_Jellaboom.jpg	152.147204	95.904883	116.822299	0.222385	0.276869	0.44296	0.436782	0.174985	0.903537	0.802565	0.079408	0.03458	7.677036	125.017518	120	54.210986
25395600	swinck	0.00650292	37213	Fractal Art/000000/wild_wild_flower_by_swinck.jpg	80.466937	36.376792	68.711531	0.33869	0.280888	0.781217	0.982759	0.309175	0.775017	0.777445	0.13665	0.01959	6.778589	68.512331	52	45.732536
152963216	VirusNO1	0.007114024	38752	Fractal Art/000001/2010_2_5_13_C_by_VirusNO1.jpg	52.846799	52.846799	52.846799	0	0	0	0	0	1.24498	0.721501	0.286131	0.024826	6.531393	52.846799	33	54.554847
108969024	Fiery-Fire	0.007290763	38361	Fractal Art/000000/Made_of_stone_by_Fiery_Fire.jpg	100.041075	104.72248	98.200157	0.510994	0.26778	0.225014	0.175182	0.203746	4.071794	0.609208	0.036282	0.052309	7.783785	99.484693	78	80.978986
120301169	Artico621	0.007468007	38465	Fractal Art/000000/Glow_Coming_From_The_Dark_by_Artico621.jpg	111.666539	70.262368	63.184257	0.507769	0.373035	0.669171	0.678161	0.198939	0.737843	0.630073	0.150625	0.035371	7.036935	78.499278	72	35.127298
99484929	Fiery-Fire	0.007487973	38260	Fractal Art/000000/Red_Tide_by_Fiery_Fire.jpg	68.013985	25.233502	20.850785	0.413069	0.452678	0.742341	0.78125	0.175286	0.499854	0.486052	0.257689	0.035947	6.215142	35.458564	30	22.228711
123018465	Artico621	0.007610178	38490	Fractal Art/000000/Miscellania_by_Artico621.jpg	135.577754	88.180962	121.41258	0.180496	0.171896	0.391795	0.402878	0.179667	0.577648	0.381689	0.225176	0.041004	6.489661	121.865017	120	22.363745
187189121	Xantipa2	0.007786278	39043	Paintings & Airbrushing/Abstract/000000/ab10_fixed_idea_by_xantipa2-d33g41t.jpg	120.484741	61.892091	81.17175	0.365721	0.389514	0.598099	0.666667	0.231743	1.545473	0.756031	0.08788	0.038927	7.113621	90.716389	69	67.612315
122374818	n8iveattitude1	0.00780204	38484	Fractal Art/000000/09_05_13_uf_by_n8iveattitude1.jpg	85.327444	105.003962	89.072226	0.566751	0.189055	0.343539	0.253731	0.267265	2.033204	0.604834	0.05833	0.036471	7.345542	89.77964	78	55.712332
72279264	SfinxMagnum	0.008098885	37971	Fractal Art/000000/Neighbour_by_SfinxMagnum.jpg	45.678222	41.653703	50.573667	0.191121	0.161864	0.194248	0.20155	0.191303	0.843632	0.725009	0.191724	0.009889	5.993992	48.094956	41	47.330533
154286081	WS-Clave	0.008109762	38763	Vector/Vehicles/000000/42244693efa85154b763c33251796a92-d2juvwh.jpg	228.699299	225.681217	227.955784	0.074763	0.171032	0.057975	0	0.150582	1.446928	0.740674	0.573797	0.025658	2.750009	227.918583	255	60.529021
124040593	n8iveattitude1	0.008208459	38500	Fractal Art/000000/09_05_28_apo6_by_n8iveattitude1.jpg	70.522436	55.237409	66.597671	0.192223	0.13754	0.265332	0.255814	0.127227	1.366306	0.565385	0.109717	0.026395	7.002354	66.488258	58	42.800832
21460576	swinck	0.008308511	37109	Fractal Art/000000/The_Last_Battle_by_swinck.jpg	189.912275	1.878375	150.659181	0.130692	0.036596	0.989802	1	0.031494	0.974142	0.623449	0.101423	0.032717	7.273311	145.410394	146	39.739827
126677088	Xantipa2	0.008371966	38523	Fractal Art/000000/FE09_Futuristic_Visions_41_by_Xantipa2.jpg	79.270459	76.459258	79.438339	0.381187	0.25619	0.20788	0.144578	0.174904	2.86172	0.313046	0.079145	0.053977	7.295316	79.051048	70	51.472305
121626962	Xantipa2	0.008461975	38477	Fractal Art/000000/45c0ca620f9b510b9ab46d481d0d5cc3.jpg	91.915574	24.848655	75.292632	0.139284	0.132925	0.6869	0.809524	0.324082	3.838913	0.395361	0.047703	0.049254	7.267167	74.513126	61	63.814897
167176769	n8iveattitude1	0.008499873	38878	Fractal Art/000001/Investigations_by_n8iveattitude1.jpg	55.499114	33.842892	37.350664	0.291407	0.336151	0.523431	0.531646	0.3218	1.645126	0.559401	0.145095	0.045345	6.664324	42.386091	22	47.104566
81677169	Artico621	0.00854217	38078	Fractal Art/000000/Universal_Avenue_by_Artico621.jpg	82.433894	50.048247	63.851855	0.229769	0.226044	0.542384	0.548673	0.281718	1.347144	0.480907	0.140736	0.026131	7.133787	67.836309	58	40.63775
76797442	Kattvinge	0.008759912	38024	Fractal Art/000000/Dark_Dreams_2_by_Kattvinge.jpg	97.820543	84.269559	99.464422	0.331162	0.21779	0.362267	0.310345	0.277007	1.371171	0.68884	0.116993	0.046861	7.055696	97.233529	86	53.738692
132098128	n8iveattitude1	0.009021939	38567	Fractal Art/000000/Crimson_Tide_by_n8iveattitude1.jpg	94.081048	38.486306	50.652261	0.249091	0.386606	0.682946	0.683544	0.1934	2.586246	0.547155	0.084568	0.061332	6.986162	62.270462	42	58.970376
115671714	Xantipa2	0.00923377	38422	Fractal Art/000000/uF09_Danger_Thought_by_Xantipa2.jpg	97.543478	10.581825	40.009386	0.099198	0.199334	0.883227	0.933824	0.180287	1.461985	0.412554	0.084469	0.050744	7.04586	53.854494	46	38.903219
102742001	Kattvinge	0.009247544	38295	Fractal Art/000000/November_Green_by_Kattvinge.jpg	127.744734	145.274939	165.543468	0.382646	0.07071	0.290793	0.240223	0.191926	0.665565	0.866873	0.096474	0.032251	7.295609	151.933497	140	54.441795
73982160	SfinxMagnum	0.009333698	37992	Fractal Art/000000/Electric_cell_by_SfinxMagnum.jpg	60.158203	34.901858	43.090075	0.204241	0.310623	0.495335	0.458333	0.258326	1.919931	0.58034	0.139828	0.031469	6.734885	47.271808	25	54.28918
77358385	SfinxMagnum	0.009608255	38030	Fractal Art/000000/Transparent_fan_by_SfinxMagnum.jpg	231.71961	225.982956	227.130317	0.243775	0.32165	0.053039	0.007843	0.125756	2.322175	0.354239	0.401708	0.041535	4.695903	228.388465	253	56.163816
92632450	SfinxMagnum	0.00962312	38191	Fractal Art/000000/Contextual_92_by_SfinxMagnum.jpg	51.31037	37.442398	46.00156	0.140523	0.143255	0.325946	0.282051	0.249097	2.297787	0.5565	0.141556	0.033317	6.819689	46.640205	25	58.794361
108704737	Fiery-Fire	0.009669794	38358	Fractal Art/000000/Vagabond_by_Fiery_Fire.jpg	76.445186	26.603521	52.669168	0.10049	0.118439	0.739406	0.789474	0.24942	3.052094	0.487784	0.0842	0.041603	7.211421	56.802176	34	60.280413
127595745	Fiery-Fire	0.009745422	38531	Fractal Art/000000/Hidden_flowers_by_Fiery_Fire.jpg	85.493017	30.299773	64.513886	0.149905	0.16593	0.728328	0.807229	0.266354	3.269558	0.326337	0.050414	0.047968	7.457877	66.884634	53	54.981103
85341970	WS-Clave	0.009991506	38117	Vector/Vehicles/000000/92286863f88dbef0052ebf480b26ea99.jpg	227.598246	228.635473	229.488122	0.096115	0.202538	0.056382	0	0.132531	1.430283	0.722648	0.574091	0.027302	2.762079	228.825422	255	57.811336
158882192	n8iveattitude1	0.010223398	38805	Fractal Art/000001/Gators_by_n8iveattitude1.jpg	68.321793	37.944384	44.914841	0.339412	0.398086	0.503109	0.526882	0.282489	2.358663	0.387403	0.10097	0.046734	7.025829	51.122694	39	48.704416
125792962	n8iveattitude1	0.010461194	38515	Fractal Art/000000/09_06_13_apo_by_n8iveattitude1.jpg	24.743128	39.779302	45.028872	0.261552	0.256583	0.320087	0.34413	0.334865	2.350086	0.533185	0.26319	0.04769	5.067686	38.349642	2	56.74001
51762208	Xantipa2	0.010791629	37706	Fractal Art/000000/UF_Wild_by_Xantipa2.jpg	59.991878	50.974712	82.324435	0.27376	0.198247	0.645021	0.705882	0.29536	2.656172	0.443749	0.046949	0.044979	7.504751	72.080325	62	54.010026
80001442	n8iveattitude1	0.010987368	38060	Fractal Art/000000/Uplifting_Depth_by_n8iveattitude1.jpg	67.784309	44.570321	53.173822	0.164971	0.274863	0.358728	0.347826	0.082686	0.624495	0.758229	0.242579	0.027883	6.918911	56.569171	46	40.048636
69455809	Xantipa2	0.011055944	37934	Fractal Art/000000/Mystic_Rhythm_II_by_Xantipa2.jpg	45.418166	2.171111	24.491503	0.086301	0.117192	0.748214	0.95	0.396674	0.57638	0.651961	0.244739	0.032934	5.842184	28.196333	20	31.006268
107345312	Xantipa2	0.011220615	38345	Fractal Art/000000/UF_Masquerade_by_Xantipa2.jpg	103.984627	40.259262	78.955278	0.114006	0.079373	0.627569	0.694118	0.236885	1.194302	0.731858	0.080334	0.025439	7.489677	82.021877	75	54.067921
74225730	Kattvinge	0.011298286	37995	Fractal Art/000000/January_Golden_Fire_by_Kattvinge.jpg	97.311141	44.73888	71.802715	0.084371	0.011196	0.547675	0.54878	0.047552	0.444377	0.852652	0.225139	0.012561	7.066634	76.348424	67	43.497414
53343041	Xantipa2	0.011393789	37726	Fractal Art/000000/Spiral_for_beigebuddha_by_Xantipa2.jpg	83.883466	27.473682	54.35527	0.231661	0.286432	0.613041	0.615385	0.281704	0.705145	0.610471	0.19603	0.034632	6.887873	60.118545	51	34.510448
18978304	swinck	0.011497151	37043	Fractal Art/000000/the_guardian_of_the_swarm_by_swinck.jpg	64.824933	47.019867	70.658633	0.261101	0.176992	0.49524	0.460526	0.241672	1.48387	0.655746	0.074382	0.029267	7.37959	66.213202	55	51.935516
81079858	Artico621	0.011511598	38071	Fractal Art/000000/Nocturnal_by_Artico621.jpg	32.120131	10.468259	18.365573	0.060099	0.107123	0.527309	0.62069	0.361616	0.698276	0.54846	0.330197	0.024645	5.447308	21.583281	13	29.217128
136483104	Artico621	0.01160484	38604	Fractal Art/000000/Dawn_Of_A_New_Day____by_Artico621.jpg	105.914397	164.56685	85.35473	0.663042	0.20005	0.555729	0.585492	0.167031	1.122018	0.319132	0.129037	0.037316	6.890223	100.532432	95	31.378889
91939138	Jellaboom	0.011719496	38184	Fractal Art/000000/Shiny_Black_Table_by_Jellaboom.jpg	5.884763	7.854482	12.67701	0.085062	0.181972	0.154899	0	0.321005	0.31068	0.735098	0.709636	0.019496	2.119107	10.094131	1	27.145189
126785712	Jellaboom	0.011873933	38524	Fractal Art/000000/UNSPOILED_BY_HUMANS_by_Jellaboom.jpg	6.329949	10.574466	7.102225	0.166518	0.294449	0.201284	0	0.351933	0.362702	0.554636	0.721493	0.019654	2.486296	7.264662	0	22.425416
102337986	Kattvinge	0.01197779	38291	Fractal Art/000000/October_Apo_20_by_Kattvinge.jpg	62.309558	30.817661	40.590378	0.082237	0.205047	0.499826	0.476923	0.219082	0.415494	0.900475	0.200009	0.025552	6.648231	45.96928	25	50.258814
67060848	Xantipa2	0.012061492	37904	Fractal Art/000000/Dangerous_Thought___1_by_Xantipa2.jpg	131.293143	91.467903	91.395149	0.300798	0.412462	0.324897	0.188525	0.349786	1.822624	0.713604	0.04912	0.030059	7.839995	103.336563	99	63.771112
66386146	SfinxMagnum	0.012078433	37896	Fractal Art/000000/Suspended_egg_by_SfinxMagnum.jpg	40.623589	17.3417	22.289817	0.051234	0.113307	0.657386	0.666667	0.169884	0.886819	0.51291	0.302733	0.010394	5.808108	27.214694	17	35.674416
181886337	Kattvinge	0.012202725	38997	Fractal Art/Raw Fractals/000000/maria_90_by_kattvinge-d30age9.jpg	71.6003	61.719737	62.403625	0.220764	0.331426	0.298267	0.3125	0.229901	1.529032	0.687243	0.080833	0.032038	7.218144	65.086155	46	54.966868
20868544	swinck	0.012409024	37094	Fractal Art/000000/Magneto_planet_by_swinck.jpg	21.497453	48.984282	107.373628	0.383447	0.089788	0.876928	0.989011	0.206546	0.164378	0.931378	0.248575	0.024071	6.339501	74.984191	59	35.633243
181400498	Xantipa2	0.01246129	38992	Paintings & Airbrushing/Abstract/000000/pa10_encounter_between_angels_by_xantipa2-d3001iq.jpg	82.858334	48.069881	72.831503	0.217217	0.249661	0.495387	0.541353	0.297971	1.441937	0.703393	0.066067	0.045822	6.891425	73.007508	67	56.279132
155610801	n8iveattitude1	0.012498811	38774	Fractal Art/000001/Muse_and_Echo_by_n8iveattitude1.jpg	54.863486	24.266492	45.968941	0.179393	0.110464	0.531027	0.490909	0.248373	1.287612	0.609054	0.135805	0.020888	7.036747	55.096716	43	45.369584
110128770	n8iveattitude1	0.012602549	38371	Fractal Art/000000/Blooms_Abound_by_n8iveattitude1.jpg	84.480565	11.705177	48.069645	0.176924	0.254064	0.894165	0.919192	0.108077	1.836001	0.458108	0.092599	0.037699	6.968651	54.812584	41	44.585618
163699616	Xantipa2	0.012626911	38847	Fractal Art/000001/b4d152bccdfc44b9e3bdcbaf18a7c805.jpg	92.763453	42.093202	37.45535	0.848475	0.320605	0.545492	0.571429	0.265446	1.357924	0.331832	0.124314	0.040423	6.901231	54.531613	48	35.912743
106050560	Xantipa2	0.012786492	38331	Mixed Media/Abstract/000000/Xmas___07_by_Xantipa2.jpg	99.229109	36.969527	90.281489	0.153401	0.079612	0.721902	0.75	0.185123	3.401391	0.304217	0.076629	0.036464	7.36533	86.864802	67	54.947362
153349458	WS-Clave	0.012801395	38755	Vector/Vehicles/000000/096a9ab20b408e8854b90677680e8787.jpg	229.212665	231.216093	230.132533	0.099431	0.22277	0.018694	0	0.073052	1.393401	0.727976	0.598508	0.024724	2.569958	229.971746	255	58.288794
141676018	VirusNO1	0.0131691	38652	Fractal Art/000000/2009_10_27_9_by_VirusNO1.jpg	92.328309	3.393056	96.123994	0.206515	0.091359	0.962221	0.987578	0.075272	0.971527	0.755331	0.102486	0.037306	7.352832	84.398468	74	48.518409
95967506	SfinxMagnum	0.01320888	38223	Fractal Art/000000/Cubism_by_SfinxMagnum.jpg	179.786763	156.726652	181.007425	0.188325	0.075604	0.2008	0.069388	0.270969	1.343644	0.752578	0.133695	0.015505	7.492793	177.883941	201	60.784936
144776320	WS-Clave	0.013269856	38681	Vector/Vehicles/000000/9d456f4a6dca44a1b82c2519a3aadde6.jpg	237.113873	234.772847	237.829871	0.092035	0.202957	0.046301	0	0.142991	1.482606	0.544712	0.619735	0.026568	2.465467	237.267666	255	46.078726
67126641	Artico621	0.013395584	37905	Fractal Art/000000/Celestial_Evenfall_by_Artico621.jpg	110.108867	87.492163	103.862816	0.133286	0.157021	0.364399	0.363636	0.260879	1.693482	0.848961	0.134283	0.043729	6.525992	103.86765	61	87.230587
137098208	Artico621	0.013425642	38609	Fractal Art/000000/Randomness_Fractured_by_Artico621.jpg	96.18355	135.42701	81.939941	0.640445	0.185989	0.436175	0.469697	0.197988	0.296994	0.794825	0.315272	0.060356	6.57307	92.293834	84	29.584871
48381953	swinck	0.01346188	37660	Fractal Art/000000/deep_sea_of_majestumus_by_swinck.jpg	15.088561	120.336368	102.998836	0.490206	0.087253	0.841313	0.9	0.135546	0.781715	0.740421	0.132003	0.025599	6.767732	78.697675	80	41.912568
75998064	SfinxMagnum	0.013499303	38015	Fractal Art/000000/Bronze_echoes_by_SfinxMagnum.jpg	70.789289	39.171672	60.954153	0.146541	0.121018	0.452462	0.473684	0.149968	1.053576	0.755624	0.206277	0.017817	7.057685	61.414933	39	54.549824
152284690	VirusNO1	0.013514223	38746	Fractal Art/000001/2010_1_30_25_by_VirusNO1.jpg	53.632197	53.632197	53.632197	0	0	0	0	0	1.000054	0.665903	0.095793	0.046291	7.078482	53.632197	45	42.914741
