_num,_widgetName,_source,_resultNumber,_pageUrl,movietitle,year,people,image,description
11,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,11,http://www.imdb.com/list/ls051626175/?licb=0.8647028070408851,Alien³,1992,Director: David Fincher; Stars: Sigourney Weaver Charles S. Dutton Charles Dance Paul McGann,<img src="http://ia.media-imdb.com/images/M/MV5BMTQzMTg3NTM2Ml5BMl5BanBnXkFtZTcwMTkzMTk3OA@@._V1._SY209_CR00140209_.jpg" height="209" width="140" alt="Image of Alien&amp;#xB3;" class="zero-z-index" />,Ripley continues to be stalked by a savage alien after her escape pod crashes on a prison planet. (114 mins.)
12,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,12,http://www.imdb.com/list/ls051626175/?licb=0.8647028070408851,Jurassic Park,1993,Director: Steven Spielberg; Stars: Sam Neill Laura Dern Jeff Goldblum Richard Attenborough,<img src="http://ia.media-imdb.com/images/M/MV5BMjQzODQyMzk2Nl5BMl5BanBnXkFtZTcwNTg4MjQ3OA@@._V1._SX140_CR00140209_.jpg" height="209" width="140" alt="Image of Jurassic Park" class="zero-z-index" />,During a preview tour a theme park suffers a major power breakdown that allows its cloned dinosaur exhibits to run amok. (127 mins.)
13,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,13,http://www.imdb.com/list/ls051626175/?licb=0.8647028070408851,Mortal Kombat,1995,Director: Paul Anderson; Stars: Christopher Lambert Robin Shou Linden Ashby Cary-Hiroyuki Tagawa,<img height="209" width="140" alt="Image of Mortal Kombat" title="Image of Mortal Kombat" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BMjMyMTkwNzcxNF5BMl5BanBnXkFtZTgwOTMxNzYxMTE@._V1._SX140_CR00140209_.jpg" />; <img height="209" width="140" alt="Image of Mortal Kombat" title="Image of Mortal Kombat" src="http://ia.media-imdb.com/images/M/MV5BMjMyMTkwNzcxNF5BMl5BanBnXkFtZTgwOTMxNzYxMTE@._V1._SX140_CR00140209_.jpg" class="zero-z-index" />,Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world. (101 mins.)
14,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,14,http://www.imdb.com/list/ls051626175/?licb=0.8647028070408851,Mars Attacks!,1996,Director: Tim Burton; Stars: Jack Nicholson Pierce Brosnan Sarah Jessica Parker Annette Bening,<img height="209" width="140" alt="Image of Mars Attacks!" title="Image of Mars Attacks!" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BNzc4NzE5OTIwNV5BMl5BanBnXkFtZTcwNjk2MTEyMQ@@._V1._SY209_CR60140209_.jpg" />; <img height="209" width="140" alt="Image of Mars Attacks!" title="Image of Mars Attacks!" src="http://ia.media-imdb.com/images/M/MV5BNzc4NzE5OTIwNV5BMl5BanBnXkFtZTcwNjk2MTEyMQ@@._V1._SY209_CR60140209_.jpg" class="zero-z-index" />,Earth is invaded by Martians with unbeatable weapons and a cruel sense of humor. (106 mins.)
15,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,15,http://www.imdb.com/list/ls051626175/?licb=0.8647028070408851,Space Jam,1996,Director: Joe Pytka; Stars: Michael Jordan Wayne Knight Theresa Randle Manner Washington,<img height="209" width="140" alt="Image of Space Jam" title="Image of Space Jam" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BMTQ5NDg1NTgwOV5BMl5BanBnXkFtZTcwODAwNDAwMQ@@._V1._SY209_CR70140209_.jpg" />; <img height="209" width="140" alt="Image of Space Jam" title="Image of Space Jam" src="http://ia.media-imdb.com/images/M/MV5BMTQ5NDg1NTgwOV5BMl5BanBnXkFtZTcwODAwNDAwMQ@@._V1._SY209_CR70140209_.jpg" class="zero-z-index" />,Michael Jordan agrees to help the Looney Toons play a basketball game vs. alien slavers to determine their freedom. (88 mins.)
16,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,16,http://www.imdb.com/list/ls051626175/?licb=0.8647028070408851,The Lost World: Jurassic Park,1997,Director: Steven Spielberg; Stars: Jeff Goldblum Julianne Moore Pete Postlethwaite Vince Vaughn,<img height="209" width="140" alt="Image of The Lost World: Jurassic Park" title="Image of The Lost World: Jurassic Park" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BMTYxNjY1NjE2OV5BMl5BanBnXkFtZTYwNzE0MDc4._V1._SX140_CR00140209_.jpg" />; <img height="209" width="140" alt="Image of The Lost World: Jurassic Park" title="Image of The Lost World: Jurassic Park" src="http://ia.media-imdb.com/images/M/MV5BMTYxNjY1NjE2OV5BMl5BanBnXkFtZTYwNzE0MDc4._V1._SX140_CR00140209_.jpg" class="zero-z-index" />,A research team is sent to the Jurassic Park Site B island to study the dinosaurs there while another team approaches with another agenda. (129 mins.)
17,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,17,http://www.imdb.com/list/ls051626175/?licb=0.8647028070408851,Men in Black,1997,Director: Barry Sonnenfeld; Stars: Tommy Lee Jones Will Smith Linda Fiorentino Vincent D'Onofrio,<img height="209" width="140" alt="Image of Men in Black" title="Image of Men in Black" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BNzA2MzI5Nzc0N15BMl5BanBnXkFtZTcwODE2NDU2MQ@@._V1._SY209_CR10140209_.jpg" />; <img height="209" width="140" alt="Image of Men in Black" title="Image of Men in Black" src="http://ia.media-imdb.com/images/M/MV5BNzA2MzI5Nzc0N15BMl5BanBnXkFtZTcwODE2NDU2MQ@@._V1._SY209_CR10140209_.jpg" class="zero-z-index" />,A streetwise NYPD detective joins a secret organization that polices extraterrestrial affairs on Earth. (98 mins.)
18,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,18,http://www.imdb.com/list/ls051626175/?licb=0.8647028070408851,Starship Troopers,1997,Director: Paul Verhoeven; Stars: Casper Van Dien Denise Richards Dina Meyer Jake Busey,<img height="209" width="140" alt="Image of Starship Troopers" title="Image of Starship Troopers" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BOTE3MDAyNTM4OF5BMl5BanBnXkFtZTcwMTcxNDI4OA@@._V1._SX140_CR00140209_.jpg" />; <img height="209" width="140" alt="Image of Starship Troopers" title="Image of Starship Troopers" src="http://ia.media-imdb.com/images/M/MV5BOTE3MDAyNTM4OF5BMl5BanBnXkFtZTcwMTcxNDI4OA@@._V1._SX140_CR00140209_.jpg" class="zero-z-index" />,Humans in a fascistic militaristic future do battle with giant alien bugs in a fight for survival. (129 mins.)
19,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,19,http://www.imdb.com/list/ls051626175/?licb=0.8647028070408851,Armageddon,1998,Director: Michael Bay; Stars: Bruce Willis Billy Bob Thornton Ben Affleck Liv Tyler,<img height="209" width="140" alt="Image of Armageddon" title="Image of Armageddon" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BMTc3NzA4MDIyNV5BMl5BanBnXkFtZTcwMzc1OTM2MQ@@._V1._SY209_CR00140209_.jpg" />; <img height="209" width="140" alt="Image of Armageddon" title="Image of Armageddon" src="http://ia.media-imdb.com/images/M/MV5BMTc3NzA4MDIyNV5BMl5BanBnXkFtZTcwMzc1OTM2MQ@@._V1._SY209_CR00140209_.jpg" class="zero-z-index" />,After discovering that an asteroid the size of Texas is going to impact Earth in less than a month N.A.S.A. recruits a misfit team of deep core drillers to save the planet. (151 mins.)
20,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,20,http://www.imdb.com/list/ls051626175/?licb=0.8647028070408851,Deep Impact,1998,Director: Mimi Leder; Stars: Robert Duvall Téa Leoni Elijah Wood Morgan Freeman,<img height="209" width="140" alt="Image of Deep Impact" title="Image of Deep Impact" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BMjE4NDE3MjA1NV5BMl5BanBnXkFtZTYwMjQxMDM5._V1._SY209_CR30140209_.jpg" />; <img height="209" width="140" alt="Image of Deep Impact" title="Image of Deep Impact" src="http://ia.media-imdb.com/images/M/MV5BMjE4NDE3MjA1NV5BMl5BanBnXkFtZTYwMjQxMDM5._V1._SY209_CR30140209_.jpg" class="zero-z-index" />,Unless a comet can be destroyed before colliding with Earth only those allowed into shelters will survive. Which people will survive? (120 mins.)
21,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,21,http://www.imdb.com/list/ls051626175/?licb=0.8647028070408851,Sphere,1998,Director: Barry Levinson; Stars: Dustin Hoffman Sharon Stone Samuel L. Jackson Peter Coyote,<img height="209" width="140" alt="Image of Sphere" title="Image of Sphere" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BMTUyNTE2MjEyNV5BMl5BanBnXkFtZTcwODQ0NTYxMQ@@._V1._SY209_CR50140209_.jpg" />; <img height="209" width="140" alt="Image of Sphere" title="Image of Sphere" src="http://ia.media-imdb.com/images/M/MV5BMTUyNTE2MjEyNV5BMl5BanBnXkFtZTcwODQ0NTYxMQ@@._V1._SY209_CR50140209_.jpg" class="zero-z-index" />,A spaceship is discovered under three hundred years' worth of coral growth at the bottom of the ocean. (134 mins.)
22,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,22,http://www.imdb.com/list/ls051626175/?licb=0.8647028070408851,The Truman Show,1998,Director: Peter Weir; Stars: Jim Carrey Ed Harris Laura Linney Noah Emmerich,<img height="209" width="140" alt="Image of The Truman Show" title="Image of The Truman Show" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BMTM4NjY2MTEzM15BMl5BanBnXkFtZTcwMTk2Njk3OA@@._V1._SX140_CR00140209_.jpg" />; <img height="209" width="140" alt="Image of The Truman Show" title="Image of The Truman Show" src="http://ia.media-imdb.com/images/M/MV5BMTM4NjY2MTEzM15BMl5BanBnXkFtZTcwMTk2Njk3OA@@._V1._SX140_CR00140209_.jpg" class="zero-z-index" />,An insurance salesman/adjuster discovers his entire life is actually a T.V. show. (103 mins.)
23,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,23,http://www.imdb.com/list/ls051626175/?licb=0.8647028070408851,The Iron Giant,1999,Director: Brad Bird; Stars: Eli Marienthal Harry Connick Jr. Jennifer Aniston Vin Diesel,<img height="209" width="140" alt="Image of The Iron Giant" title="Image of The Iron Giant" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BMjE2NDc4MzY1NV5BMl5BanBnXkFtZTcwNDcxNjgxMQ@@._V1._SY209_CR20140209_.jpg" />; <img height="209" width="140" alt="Image of The Iron Giant" title="Image of The Iron Giant" src="http://ia.media-imdb.com/images/M/MV5BMjE2NDc4MzY1NV5BMl5BanBnXkFtZTcwNDcxNjgxMQ@@._V1._SY209_CR20140209_.jpg" class="zero-z-index" />,A boy makes friends with an innocent alien giant robot that a paranoid government agent wants to destroy. (86 mins.)
24,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,24,http://www.imdb.com/list/ls051626175/?licb=0.8647028070408851,The Matrix,1999,Director: The Wachowski Brothers The Wachowski Brothers; Stars: Keanu Reeves Laurence Fishburne Carrie-Anne Moss Hugo Weaving,<img height="209" width="140" alt="Image of The Matrix" title="Image of The Matrix" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BMTkxNDYxOTA4M15BMl5BanBnXkFtZTgwNTk0NzQxMTE@._V1._SX140_CR00140209_.jpg" />; <img height="209" width="140" alt="Image of The Matrix" title="Image of The Matrix" src="http://ia.media-imdb.com/images/M/MV5BMTkxNDYxOTA4M15BMl5BanBnXkFtZTgwNTk0NzQxMTE@._V1._SX140_CR00140209_.jpg" class="zero-z-index" />,A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers. (136 mins.)
25,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,25,http://www.imdb.com/list/ls051626175/?licb=0.8647028070408851,Star Wars: Episode I - The Phantom Menace,1999,Director: George Lucas; Stars: Ewan McGregor Liam Neeson Natalie Portman Jake Lloyd,<img height="209" width="140" alt="Image of Star Wars: Episode I - The Phantom Menace" title="Image of Star Wars: Episode I - The Phantom Menace" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BMTQ4NjEwNDA2Nl5BMl5BanBnXkFtZTcwNDUyNDQzNw@@._V1._SY209_CR00140209_.jpg" />; <img height="209" width="140" alt="Image of Star Wars: Episode I - The Phantom Menace" title="Image of Star Wars: Episode I - The Phantom Menace" src="http://ia.media-imdb.com/images/M/MV5BMTQ4NjEwNDA2Nl5BMl5BanBnXkFtZTcwNDUyNDQzNw@@._V1._SY209_CR00140209_.jpg" class="zero-z-index" />,Two Jedi Knights escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force but the long dormant Sith resurface to reclaim their old glory. (136 mins.)
26,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,26,http://www.imdb.com/list/ls051626175/?licb=0.8647028070408851,Unbreakable,2000,Director: M. Night Shyamalan; Stars: Bruce Willis Samuel L. Jackson Robin Wright Spencer Treat Clark,<img height="209" width="140" alt="Image of Unbreakable" title="Image of Unbreakable" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BMTQ5MzkyMjk2Nl5BMl5BanBnXkFtZTYwOTAxOTE3._V1._SY209_CR00140209_.jpg" />; <img height="209" width="140" alt="Image of Unbreakable" title="Image of Unbreakable" src="http://ia.media-imdb.com/images/M/MV5BMTQ5MzkyMjk2Nl5BMl5BanBnXkFtZTYwOTAxOTE3._V1._SY209_CR00140209_.jpg" class="zero-z-index" />,A suspense thriller with supernatural overtones that revolves around a man who learns something extraordinary about himself after a devastating accident. (106 mins.)
27,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,27,http://www.imdb.com/list/ls051626175/?licb=0.8647028070408851,X-Men,2000,Director: Bryan Singer; Stars: Patrick Stewart Hugh Jackman Ian McKellen Famke Janssen,<img height="209" width="140" alt="Image of X-Men" title="Image of X-Men" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BMTYxMTEzNTgzM15BMl5BanBnXkFtZTcwMjg1MzAwMQ@@._V1._SY209_CR70140209_.jpg" />; <img height="209" width="140" alt="Image of X-Men" title="Image of X-Men" src="http://ia.media-imdb.com/images/M/MV5BMTYxMTEzNTgzM15BMl5BanBnXkFtZTcwMjg1MzAwMQ@@._V1._SY209_CR70140209_.jpg" class="zero-z-index" />,Two mutants come to a private academy for their kind whose resident superhero team must oppose a terrorist organization with similar powers. (104 mins.)
28,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,28,http://www.imdb.com/list/ls051626175/?licb=0.8647028070408851,A.I. Artificial Intelligence,2001,Director: Steven Spielberg; Stars: Haley Joel Osment Jude Law Frances O'Connor Sam Robards,<img height="209" width="140" alt="Image of A.I. Artificial Intelligence" title="Image of A.I. Artificial Intelligence" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BMTMwNDI0NjU1NF5BMl5BanBnXkFtZTcwNTcwOTI3MQ@@._V1._SY209_CR00140209_.jpg" />; <img height="209" width="140" alt="Image of A.I. Artificial Intelligence" title="Image of A.I. Artificial Intelligence" src="http://ia.media-imdb.com/images/M/MV5BMTMwNDI0NjU1NF5BMl5BanBnXkFtZTcwNTcwOTI3MQ@@._V1._SY209_CR00140209_.jpg" class="zero-z-index" />,A highly advanced robotic boy longs to become "real" so that he can regain the love of his human mother. (146 mins.)
29,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,29,http://www.imdb.com/list/ls051626175/?licb=0.8647028070408851,Atlantis: The Lost Empire,2001,Director: Gary Trousdale Kirk Wise; Stars: Michael J. Fox Jim Varney Corey Burton James Garner,<img height="209" width="140" alt="Image of Atlantis: The Lost Empire" title="Image of Atlantis: The Lost Empire" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BMjE0MDU2MTQ2M15BMl5BanBnXkFtZTYwOTc5OTI3._V1._SY209_CR100140209_.jpg" />; <img height="209" width="140" alt="Image of Atlantis: The Lost Empire" title="Image of Atlantis: The Lost Empire" src="http://ia.media-imdb.com/images/M/MV5BMjE0MDU2MTQ2M15BMl5BanBnXkFtZTYwOTc5OTI3._V1._SY209_CR100140209_.jpg" class="zero-z-index" />,A young adventurer named Milo Thatch joins an intrepid group of explorers to find the mysterious lost continent of Atlantis. (95 mins.)
30,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,30,http://www.imdb.com/list/ls051626175/?licb=0.8647028070408851,Spy Kids,2001,Director: Robert Rodriguez; Stars: Alexa PenaVega Daryl Sabara Antonio Banderas Carla Gugino,<img height="209" width="140" alt="Image of Spy Kids" title="Image of Spy Kids" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BMTczMDE0NDY5M15BMl5BanBnXkFtZTcwOTg4NDgxMQ@@._V1._SY209_CR40140209_.jpg" />; <img height="209" width="140" alt="Image of Spy Kids" title="Image of Spy Kids" src="http://ia.media-imdb.com/images/M/MV5BMTczMDE0NDY5M15BMl5BanBnXkFtZTcwOTg4NDgxMQ@@._V1._SY209_CR40140209_.jpg" class="zero-z-index" />,The children of secret-agent parents must save them from danger. (88 mins.)
31,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,31,http://www.imdb.com/list/ls051626175/?licb=0.8647028070408851,Lilo & Stitch,2002,Director: Dean DeBlois Chris Sanders; Stars: Daveigh Chase Chris Sanders Tia Carrere David Ogden Stiers,<img height="209" width="140" alt="Image of Lilo &amp; Stitch" title="Image of Lilo &amp; Stitch" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BMTkwOTU5MTA2M15BMl5BanBnXkFtZTYwMjYyNTc3._V1._SY209_CR00140209_.jpg" />; <img height="209" width="140" alt="Image of Lilo &amp; Stitch" title="Image of Lilo &amp; Stitch" src="http://ia.media-imdb.com/images/M/MV5BMTkwOTU5MTA2M15BMl5BanBnXkFtZTYwMjYyNTc3._V1._SY209_CR00140209_.jpg" class="zero-z-index" />,A Hawaiian girl adopts an unusual pet who is actually a notorious extra-terrestrial fugitive from the law. (85 mins.)
32,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,32,http://www.imdb.com/list/ls051626175/?licb=0.8647028070408851,Men in Black II,2002,Director: Barry Sonnenfeld; Stars: Tommy Lee Jones Will Smith Rip Torn Lara Flynn Boyle,<img height="209" width="140" alt="Image of Men in Black II" title="Image of Men in Black II" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BMTMxNDA0NTMxMV5BMl5BanBnXkFtZTYwMDE2NzY2._V1._SY209_CR00140209_.jpg" />; <img height="209" width="140" alt="Image of Men in Black II" title="Image of Men in Black II" src="http://ia.media-imdb.com/images/M/MV5BMTMxNDA0NTMxMV5BMl5BanBnXkFtZTYwMDE2NzY2._V1._SY209_CR00140209_.jpg" class="zero-z-index" />,Agent J needs help so he is sent to find Agent K and restore his memory. (88 mins.)
